City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
433,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
434,Wanning,CN,82.53,overcast clouds,18.8003,110.3967,Paradise Hotel
435,Shimoda,JP,81.05,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
437,Pasighat,IN,79.52,overcast clouds,28.0667,95.3333,Siang Guest House
443,Gat,IL,84.81,clear sky,31.61,34.7642,OlusHome
444,Basco,PH,84.04,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
453,Muret,FR,75.74,overcast clouds,43.3333,1.25,Logis Hôtel l'Arche de Noé
454,Pedasi,PA,81.75,overcast clouds,7.5333,-80.0333,Selina Pedasi
455,Kardailovo,RU,76.84,scattered clouds,51.5386,53.9042,
457,Koungou,YT,78.51,overcast clouds,-12.7336,45.2042,Villa Netibor
462,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
466,Dnipryany,UA,79.03,overcast clouds,46.7463,33.2729,Holiday Village Katrin
471,Mapiripan,CO,88.52,clear sky,2.8892,-72.1256,Monserrate
475,Chino Valley,US,88.75,clear sky,34.7575,-112.4538,Primrose Inn & Suites
481,Marsa Matruh,EG,84.4,clear sky,31.3525,27.2453,Beau Site
482,Barinas,VE,85.64,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
486,Ukiah,US,89.37,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
488,Moa,CU,87.44,few clouds,20.6569,-74.9403,Carmen
492,Vega De Alatorre,MX,87.53,overcast clouds,20.0333,-96.6333,El Polo Norte
496,Santa Rita,BR,83.07,broken clouds,-7.1139,-34.9781,Infinity Motel
499,Geneva,US,88.65,clear sky,41.8875,-88.3054,Best Western Inn Of St. Charles
503,Salamanca,ES,81.0,clear sky,40.8333,-6.0,Palacio Carrascalino
506,Garowe,SO,86.95,broken clouds,8.4054,48.4845,Curubo Hotel
507,Lompoc,US,77.11,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
509,Kisangani,CD,77.65,broken clouds,0.5167,25.2,Grand Ramela Hotel
519,La Asuncion,VE,84.34,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
521,San Policarpo,PH,78.58,overcast clouds,12.1791,125.5072,JM Lodge
523,Seoul,KR,76.6,scattered clouds,37.5683,126.9778,롯데호텔 서울
525,Iowa City,US,83.28,overcast clouds,41.6611,-91.5302,Hampton Inn Iowa City/University Area
527,Hirara,JP,81.68,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
530,Minuri,PH,75.2,overcast clouds,16.535,121.8574,
531,Surin,TH,81.01,overcast clouds,14.8818,103.4936,One Fu Hotel
532,Bluefields,NI,77.2,light rain,12.0137,-83.7635,Flamingo Hotel and Casino
